County & State,FIPS,SODATAX_STORES14,SODATAX_VENDM14,CHIPSTAX_STORES14,CHIPSTAX_VENDM14,FOOD_TAX14
"Autauga, AL",1001,4.0,4.0,4.0,4.0,4.0
"Baldwin, AL",1003,4.0,4.0,4.0,4.0,4.0
"Barbour, AL",1005,4.0,4.0,4.0,4.0,4.0
"Bibb, AL",1007,4.0,4.0,4.0,4.0,4.0
"Blount, AL",1009,4.0,4.0,4.0,4.0,4.0
"Bullock, AL",1011,4.0,4.0,4.0,4.0,4.0
"Butler, AL",1013,4.0,4.0,4.0,4.0,4.0
"Calhoun, AL",1015,4.0,4.0,4.0,4.0,4.0
"Chambers, AL",1017,4.0,4.0,4.0,4.0,4.0
"Cherokee, AL",1019,4.0,4.0,4.0,4.0,4.0
"Chilton, AL",1021,4.0,4.0,4.0,4.0,4.0
"Choctaw, AL",1023,4.0,4.0,4.0,4.0,4.0
"Clarke, AL",1025,4.0,4.0,4.0,4.0,4.0
"Clay, AL",1027,4.0,4.0,4.0,4.0,4.0
"Cleburne, AL",1029,4.0,4.0,4.0,4.0,4.0
"Coffee, AL",1031,4.0,4.0,4.0,4.0,4.0
"Colbert, AL",1033,4.0,4.0,4.0,4.0,4.0
"Conecuh, AL",1035,4.0,4.0,4.0,4.0,4.0
"Coosa, AL",1037,4.0,4.0,4.0,4.0,4.0
"Covington, AL",1039,4.0,4.0,4.0,4.0,4.0
"Crenshaw, AL",1041,4.0,4.0,4.0,4.0,4.0
"Cullman, AL",1043,4.0,4.0,4.0,4.0,4.0
"Dale, AL",1045,4.0,4.0,4.0,4.0,4.0
"Dallas, AL",1047,4.0,4.0,4.0,4.0,4.0
"DeKalb, AL",1049,4.0,4.0,4.0,4.0,4.0
"Elmore, AL",1051,4.0,4.0,4.0,4.0,4.0
"Escambia, AL",1053,4.0,4.0,4.0,4.0,4.0
"Etowah, AL",1055,4.0,4.0,4.0,4.0,4.0
"Fayette, AL",1057,4.0,4.0,4.0,4.0,4.0
"Franklin, AL",1059,4.0,4.0,4.0,4.0,4.0
"Geneva, AL",1061,4.0,4.0,4.0,4.0,4.0
"Greene, AL",1063,4.0,4.0,4.0,4.0,4.0
"Hale, AL",1065,4.0,4.0,4.0,4.0,4.0
"Henry, AL",1067,4.0,4.0,4.0,4.0,4.0
"Houston, AL",1069,4.0,4.0,4.0,4.0,4.0
"Jackson, AL",1071,4.0,4.0,4.0,4.0,4.0
"Jefferson, AL",1073,4.0,4.0,4.0,4.0,4.0
"Lamar, AL",1075,4.0,4.0,4.0,4.0,4.0
"Lauderdale, AL",1077,4.0,4.0,4.0,4.0,4.0
"Lawrence, AL",1079,4.0,4.0,4.0,4.0,4.0
"Lee, AL",1081,4.0,4.0,4.0,4.0,4.0
"Limestone, AL",1083,4.0,4.0,4.0,4.0,4.0
"Lowndes, AL",1085,4.0,4.0,4.0,4.0,4.0
"Macon, AL",1087,4.0,4.0,4.0,4.0,4.0
"Madison, AL",1089,4.0,4.0,4.0,4.0,4.0
"Marengo, AL",1091,4.0,4.0,4.0,4.0,4.0
"Marion, AL",1093,4.0,4.0,4.0,4.0,4.0
"Marshall, AL",1095,4.0,4.0,4.0,4.0,4.0
"Mobile, AL",1097,4.0,4.0,4.0,4.0,4.0
"Monroe, AL",1099,4.0,4.0,4.0,4.0,4.0
"Montgomery, AL",1101,4.0,4.0,4.0,4.0,4.0
"Morgan, AL",1103,4.0,4.0,4.0,4.0,4.0
"Perry, AL",1105,4.0,4.0,4.0,4.0,4.0
"Pickens, AL",1107,4.0,4.0,4.0,4.0,4.0
"Pike, AL",1109,4.0,4.0,4.0,4.0,4.0
"Randolph, AL",1111,4.0,4.0,4.0,4.0,4.0
"Russell, AL",1113,4.0,4.0,4.0,4.0,4.0
"St. Clair, AL",1115,4.0,4.0,4.0,4.0,4.0
"Shelby, AL",1117,4.0,4.0,4.0,4.0,4.0
"Sumter, AL",1119,4.0,4.0,4.0,4.0,4.0
"Talladega, AL",1121,4.0,4.0,4.0,4.0,4.0
"Tallapoosa, AL",1123,4.0,4.0,4.0,4.0,4.0
"Tuscaloosa, AL",1125,4.0,4.0,4.0,4.0,4.0
"Walker, AL",1127,4.0,4.0,4.0,4.0,4.0
"Washington, AL",1129,4.0,4.0,4.0,4.0,4.0
"Wilcox, AL",1131,4.0,4.0,4.0,4.0,4.0
"Winston, AL",1133,4.0,4.0,4.0,4.0,4.0
"Aleutians East, AK",2013,0.0,0.0,0.0,0.0,0.0
"Aleutians West, AK",2016,0.0,0.0,0.0,0.0,0.0
"Anchorage, AK",2020,0.0,0.0,0.0,0.0,0.0
"Bethel, AK",2050,0.0,0.0,0.0,0.0,0.0
"Bristol Bay, AK",2060,0.0,0.0,0.0,0.0,0.0
"Denali, AK",2068,0.0,0.0,0.0,0.0,0.0
"Dillingham, AK",2070,0.0,0.0,0.0,0.0,0.0
"Fairbanks North Star, AK",2090,0.0,0.0,0.0,0.0,0.0
"Haines, AK",2100,0.0,0.0,0.0,0.0,0.0
"Hoonah-Angoon, AK",2105,0.0,0.0,0.0,0.0,0.0
"Juneau, AK",2110,0.0,0.0,0.0,0.0,0.0
"Kenai Peninsula, AK",2122,0.0,0.0,0.0,0.0,0.0
"Ketchikan Gateway, AK",2130,0.0,0.0,0.0,0.0,0.0
"Kodiak Island, AK",2150,0.0,0.0,0.0,0.0,0.0
"Lake and Peninsula, AK",2164,0.0,0.0,0.0,0.0,0.0
"Matanuska-Susitna, AK",2170,0.0,0.0,0.0,0.0,0.0
"Nome, AK",2180,0.0,0.0,0.0,0.0,0.0
"North Slope, AK",2185,0.0,0.0,0.0,0.0,0.0
"Northwest Arctic, AK",2188,0.0,0.0,0.0,0.0,0.0
"Petersburg, AK",2195,0.0,0.0,0.0,0.0,0.0
"Prince of Wales-Hyder, AK",2198,0.0,0.0,0.0,0.0,0.0
"Sitka, AK",2220,0.0,0.0,0.0,0.0,0.0
"Skagway, AK",2230,0.0,0.0,0.0,0.0,0.0
"Southeast Fairbanks, AK",2240,0.0,0.0,0.0,0.0,0.0
"Valdez-Cordova, AK",2261,0.0,0.0,0.0,0.0,0.0
"Wade Hampton, AK",2270,0.0,0.0,0.0,0.0,0.0
"Wrangell, AK",2275,0.0,0.0,0.0,0.0,0.0
"Yakutat, AK",2282,0.0,0.0,0.0,0.0,0.0
"Yukon-Koyukuk, AK",2290,0.0,0.0,0.0,0.0,0.0
"Apache, AZ",4001,0.0,0.0,0.0,0.0,0.0
"Cochise, AZ",4003,0.0,0.0,0.0,0.0,0.0
"Coconino, AZ",4005,0.0,0.0,0.0,0.0,0.0
"Gila, AZ",4007,0.0,0.0,0.0,0.0,0.0
"Graham, AZ",4009,0.0,0.0,0.0,0.0,0.0
"Greenlee, AZ",4011,0.0,0.0,0.0,0.0,0.0
"La Paz, AZ",4012,0.0,0.0,0.0,0.0,0.0
"Maricopa, AZ",4013,0.0,0.0,0.0,0.0,0.0
"Mohave, AZ",4015,0.0,0.0,0.0,0.0,0.0
"Navajo, AZ",4017,0.0,0.0,0.0,0.0,0.0
"Pima, AZ",4019,0.0,0.0,0.0,0.0,0.0
"Pinal, AZ",4021,0.0,0.0,0.0,0.0,0.0
"Santa Cruz, AZ",4023,0.0,0.0,0.0,0.0,0.0
"Yavapai, AZ",4025,0.0,0.0,0.0,0.0,0.0
"Yuma, AZ",4027,0.0,0.0,0.0,0.0,0.0
"Arkansas, AR",5001,1.5,1.5,1.5,1.5,1.5
"Ashley, AR",5003,1.5,1.5,1.5,1.5,1.5
"Baxter, AR",5005,1.5,1.5,1.5,1.5,1.5
"Benton, AR",5007,1.5,1.5,1.5,1.5,1.5
"Boone, AR",5009,1.5,1.5,1.5,1.5,1.5
"Bradley, AR",5011,1.5,1.5,1.5,1.5,1.5
"Calhoun, AR",5013,1.5,1.5,1.5,1.5,1.5
"Carroll, AR",5015,1.5,1.5,1.5,1.5,1.5
"Chicot, AR",5017,1.5,1.5,1.5,1.5,1.5
"Clark, AR",5019,1.5,1.5,1.5,1.5,1.5
"Clay, AR",5021,1.5,1.5,1.5,1.5,1.5
"Cleburne, AR",5023,1.5,1.5,1.5,1.5,1.5
"Cleveland, AR",5025,1.5,1.5,1.5,1.5,1.5
