County & State,FMRKT13,FMRKT18,PCH_FMRKT_13_18,FMRKTPTH13,FMRKTPTH18,PCH_FMRKTPTH_13_18,FMRKT_SNAP18,PCT_FMRKT_SNAP18,FMRKT_WIC18,PCT_FMRKT_WIC18,FMRKT_WICCASH18,PCT_FMRKT_WICCASH18,FMRKT_SFMNP18,PCT_FMRKT_SFMNP18,FMRKT_CREDIT18,PCT_FMRKT_CREDIT18,FMRKT_FRVEG18,PCT_FMRKT_FRVEG18,FMRKT_ANMLPROD18,PCT_FMRKT_ANMLPROD18,FMRKT_BAKED18,PCT_FMRKT_BAKED18,FMRKT_OTHERFOOD18,PCT_FMRKT_OTHERFOOD18
"Autauga, AL",1.0,1.0,0.0,0.018277192,0.017985288,-1.597096682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,100.0,1.0,100.0
"Baldwin, AL",4.0,4.0,0.0,0.02052482,0.018346772,-10.61178017,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0,2.0,50.0,3.0,75.0,4.0,100.0,3.0,75.0,3.0,75.0
"Barbour, AL",3.0,4.0,33.33333206,0.111342043,0.160765246,44.3886261,2.0,50.0,0.0,0.0,0.0,0.0,2.0,50.0,2.0,50.0,2.0,50.0,0.0,0.0,2.0,50.0,2.0,50.0
"Bibb, AL",1.0,1.0,0.0,0.044412863,0.044642858,0.517858326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Blount, AL",1.0,1.0,0.0,0.017357796,0.017289074,-0.395915985,0.0,0.0,1.0,100.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
"Bullock, AL",1.0,1.0,0.0,0.094777748,0.098638788,4.073782921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Butler, AL",2.0,2.0,0.0,0.098164327,0.101626016,3.526422262,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
"Calhoun, AL",3.0,2.0,-33.33333206,0.025742013,0.017501334,-32.01256561,1.0,50.0,0.0,0.0,0.0,0.0,2.0,100.0,1.0,50.0,2.0,100.0,2.0,100.0,2.0,100.0,2.0,100.0
"Chambers, AL",1.0,1.0,0.0,0.029288581,0.029748624,1.570726633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,100.0,1.0,100.0
"Cherokee, AL",1.0,1.0,0.0,0.038424592,0.038414259,-0.026894119,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,100.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,100.0
"Chilton, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Choctaw, AL",1.0,1.0,0.0,0.074649148,0.077875555,4.322094917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Clarke, AL",2.0,2.0,0.0,0.079611495,0.08361204,5.025084019,1.0,50.0,0.0,0.0,0.0,0.0,2.0,100.0,1.0,50.0,2.0,100.0,1.0,50.0,1.0,50.0,1.0,50.0
"Clay, AL",2.0,2.0,0.0,0.149209186,0.150659129,0.971751571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cleburne, AL",1.0,1.0,0.0,0.066773504,0.066724494,-0.073397256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
"Coffee, AL",1.0,2.0,100.0,0.019732818,0.038528964,95.25322723,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,50.0,2.0,100.0,2.0,100.0,1.0,50.0,2.0,100.0
"Colbert, AL",3.0,2.0,-33.33333206,0.055012561,0.036521677,-33.61211395,1.0,50.0,1.0,50.0,1.0,50.0,1.0,50.0,1.0,50.0,1.0,50.0,1.0,50.0,1.0,50.0,1.0,50.0
"Conecuh, AL",1.0,1.0,0.0,0.077453338,0.081453122,5.164121628,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
"Coosa, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Covington, AL",2.0,2.0,0.0,0.052893262,0.054074515,2.233275652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Crenshaw, AL",1.0,1.0,0.0,0.072181322,0.072337963,0.217010438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cullman, AL",1.0,1.0,0.0,0.012393417,0.011984373,-3.300496817,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
"Dale, AL",2.0,2.0,0.0,0.040183235,0.040853012,1.666808009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,50.0,1.0,50.0,1.0,50.0,1.0,50.0,1.0,50.0
"Dallas, AL",1.0,1.0,0.0,0.023819165,0.026102845,9.587571144,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,0.0,0.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
"DeKalb, AL",3.0,2.0,-33.33333206,0.042306554,0.028017091,-33.77600479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Elmore, AL",1.0,2.0,100.0,0.012411722,0.024423901,96.78092194,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,50.0,1.0,50.0,0.0,0.0,1.0,50.0,1.0,50.0
"Escambia, AL",3.0,2.0,-33.33333206,0.079442844,0.054424729,-31.49196815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Etowah, AL",3.0,3.0,0.0,0.028878642,0.029268008,1.34828186,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.66666412,1.0,33.33333206,2.0,66.66666412,1.0,33.33333206,1.0,33.33333206,1.0,33.33333206
"Fayette, AL",1.0,1.0,0.0,0.059456568,0.060853161,2.348929167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Franklin, AL",2.0,2.0,0.0,0.063387424,0.063769408,0.602617681,1.0,50.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,1.0,50.0,1.0,50.0,1.0,50.0,1.0,50.0
"Geneva, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Greene, AL",2.0,2.0,0.0,0.228597552,0.242924809,6.267458916,0.0,0.0,0.0,0.0,1.0,50.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hale, AL",1.0,1.0,0.0,0.065586671,0.067907102,3.537961483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,100.0,1.0,100.0
"Henry, AL",2.0,2.0,0.0,0.116740599,0.116218261,-0.447434604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Houston, AL",3.0,3.0,0.0,0.028946912,0.028647276,-1.035123467,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,3.0,100.0,3.0,100.0,1.0,33.33333206,2.0,66.66666412,3.0,100.0
"Jackson, AL",1.0,1.0,0.0,0.018882887,0.0193289,2.361991644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jefferson, AL",16.0,17.0,6.25,0.024271991,0.025784923,6.233240604,4.0,23.52941132,1.0,5.882352829,0.0,0.0,6.0,35.29411697,8.0,47.05882263,10.0,58.82352829,6.0,35.29411697,8.0,47.05882263,9.0,52.94117737
"Lamar, AL",1.0,1.0,0.0,0.070372976,0.072233461,2.643748522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lauderdale, AL",1.0,1.0,0.0,0.010786789,0.010824034,0.345287681,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
"Lawrence, AL",1.0,1.0,0.0,0.029782292,0.030342568,1.881239414,1.0,100.0,1.0,100.0,0.0,0.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0
"Lee, AL",4.0,4.0,0.0,0.026345082,0.024399022,-7.386805534,1.0,25.0,0.0,0.0,1.0,25.0,0.0,0.0,3.0,75.0,2.0,50.0,1.0,25.0,1.0,25.0,2.0,50.0
